Index,Modification,Speaker,Start Time,End Time,Script
41,수정결과,D,305519,315260,승자독식 사회를 이끈 35년 양당 체제 그리고 제왕적 대통령제를 바꾸는 거라고 생각합니다. 제가 대통령이 되면 개헌 이전이라도
42,인식결과,4,315260,322739,권력 분산을 위한 실천을 시작하겠습니다. 총리 국회 추천제로
42,수정결과,D,315260,322739,권력 분산을 위한 실천을 시작하겠습니다. 총리 국회 추천제로
43,인식결과,4,322739,335299,국정의 중심을 청와대에서 국회로 옮기겠습니다. 선거제도 개혁으로 5천만을 골고루 대변하는 국회 만들고 다당제하의 책임 연정 시작하겠습니다. 그래야
43,수정결과,D,322739,335299,국정의 중심을 청와대에서 국회로 옮기겠습니다. 선거제도 개혁으로 5천만을 골고루 대변하는 국회 만들고 다당제하의 책임 연정 시작하겠습니다. 그래야
44,인식결과,4,335480,345480,기후위기 불평등 그리고 한반도 평화와 같은 중태대한 국가적 과제를 해결할 수 있는 정치가 시작될 수 있을 거라고 생각합니다.
44,수정결과,D,335480,345480,기후위기 불평등 그리고 한반도 평화와 같은 중태대한 국가적 과제를 해결할 수 있는 정치가 시작될 수 있을 거라고 생각합니다.
45,인식결과,1,345480,346890,안철수 후보
45,수정결과,A,345480,346890,안철수 후보
46,인식결과,6,347330,350040,저는 두 가지가 필요하다고 생각합니다.
46,수정결과,F,347330,350040,저는 두 가지가 필요하다고 생각합니다.
47,인식결과,6,350229,357910,먼저 개헌을 통해서 제왕적인 대통령제를 분권형 대통령제로 바꾸는 것이 필요합니다.
47,수정결과,F,350229,357910,먼저 개헌을 통해서 제왕적인 대통령제를 분권형 대통령제로 바꾸는 것이 필요합니다.
48,인식결과,6,357910,367049,지금까지 대통령에게 너무 많은 권한이 이렇게 집중이 되고 견제가 되지 않았기 때문에 계속 실패한 대통령이 나왔던 겁니다.
48,수정결과,F,357910,367049,지금까지 대통령에게 너무 많은 권한이 이렇게 집중이 되고 견제가 되지 않았기 때문에 계속 실패한 대통령이 나왔던 겁니다.
49,인식결과,6,367230,373699,그리고 또 이 선거제도 자체도 결선투표제가 필요합니다.
49,수정결과,F,367230,373699,그리고 또 이 선거제도 자체도 결선투표제가 필요합니다.
50,인식결과,6,373699,383799,1차에서 1 2등이 다시 한 번 더 선거를 거치게 되면 과반수에 얻는 그 국민들의 지지를 얻게 되는 것 아니겠습니까
50,수정결과,F,373699,383799,1차에서 1 2등이 다시 한 번 더 선거를 거치게 되면 과반수에 얻는 그 국민들의 지지를 얻게 되는 것 아니겠습니까
51,인식결과,6,384179,393660,그리고 또 두 번째로는 국회의원 선거 제도 자체를 바꿔야 합니다. 그래서 거대 양당이 아니라 정말 다당제가 가능한
51,수정결과,F,384179,393660,그리고 또 두 번째로는 국회의원 선거 제도 자체를 바꿔야 합니다. 그래서 거대 양당이 아니라 정말 다당제가 가능한
52,인식결과,6,393660,407499,그래서 민심의 구조 그대로 국회 의석이 가능한 그런 제도로 바꿔야 됩니다. 그리고 거기에는 중대선거구제도 있고 그리고 또 비례대표제도 있다. 그런 말씀을 드리겠습니다.
52,수정결과,F,393660,407499,그래서 민심의 구조 그대로 국회 의석이 가능한 그런 제도로 바꿔야 됩니다. 그리고 거기에는 중대선거구제도 있고 그리고 또 비례대표제도 있다. 그런 말씀을 드리겠습니다.
53,인식결과,1,407780,409190,네 윤석열 로보
53,수정결과,A,407780,409190,네 윤석열 로보
54,인식결과,3,409680,417840,권력구조는 국민의 기본권을 보장하고 국민을 잘 살게 하기 위해서 있는 것입니다.
54,수정결과,C,409680,417840,권력구조는 국민의 기본권을 보장하고 국민을 잘 살게 하기 위해서 있는 것입니다.
55,인식결과,3,417880,425890,선거를 앞두고 권력구조 개헌 담론들이 나오지만 늘 선거 끝나면 흐지부지 되기 일쑤였습니다.
55,수정결과,C,417880,425890,선거를 앞두고 권력구조 개헌 담론들이 나오지만 늘 선거 끝나면 흐지부지 되기 일쑤였습니다.
56,인식결과,3,426180,432240,저는 대통령제에 관해서 대통령이 일을 어떻게 할 것인가
56,수정결과,C,426180,432240,저는 대통령제에 관해서 대통령이 일을 어떻게 할 것인가
57,인식결과,3,432330,440640,저는 총리 할 일 대통령 할 일 총리 할 일 장관 할 일을 딱 딱 구분을 짓고 그리고
57,수정결과,C,432330,440640,저는 총리 할 일 대통령 할 일 총리 할 일 장관 할 일을 딱 딱 구분을 짓고 그리고
58,인식결과,3,440930,444240,대통령은 대통령이 해야 될 일에 대해서만
58,수정결과,C,440930,444240,대통령은 대통령이 해야 될 일에 대해서만
59,인식결과,3,444529,452450,분권형으로 일을 해야 된다고 저는 생각을 합니다. 그리고 민간 전문가들을 모시고
59,수정결과,C,444529,452450,분권형으로 일을 해야 된다고 저는 생각을 합니다. 그리고 민간 전문가들을 모시고
60,인식결과,3,452450,465549,민관합동위원회를 대통령 직속으로 만들어서 이분들과 대통령의 국정 아젠다를 설정하고 관리하고 점검하는 이런 방식으로
60,수정결과,C,452450,465549,민관합동위원회를 대통령 직속으로 만들어서 이분들과 대통령의 국정 아젠다를 설정하고 관리하고 점검하는 이런 방식으로
61,인식결과,3,465780,468390,국정을 운영해야 된다고 봅니다.
61,수정결과,C,465780,468390,국정을 운영해야 된다고 봅니다.
62,인식결과,1,468880,470390,이재명 후보
62,수정결과,A,468880,470390,이재명 후보
63,인식결과,2,471430,481840,국민 여러분 사실 우리 국민 여러분들께서 정치가 국민을 걱정해야 되는데 국민들께서 정치를 걱정한다 이런 말씀 많이 하십니다. 전적으로 공감합니다.
63,수정결과,B,471430,481840,국민 여러분 사실 우리 국민 여러분들께서 정치가 국민을 걱정해야 되는데 국민들께서 정치를 걱정한다 이런 말씀 많이 하십니다. 전적으로 공감합니다.
64,인식결과,2,482230,485090,아까 한 시민분께서도 그 말씀하셨는데
64,수정결과,B,482230,485090,아까 한 시민분께서도 그 말씀하셨는데
65,인식결과,2,485580,492840,정치가 사실은 국민을 위한 정치를 해야 되는데 정치인들을 위한 정치라는 게 가장 심각한 문제라는 생각이 듭니다.
65,수정결과,B,485580,492840,정치가 사실은 국민을 위한 정치를 해야 되는데 정치인들을 위한 정치라는 게 가장 심각한 문제라는 생각이 듭니다.
66,인식결과,2,493530,500590,이유는 단순합니다. 이 거대 양당 둘 중에 하나를 선택해야 되니까 상대방이 잘못하면 저한테 자기한테 기회가 오죠.
66,수정결과,B,493530,500590,이유는 단순합니다. 이 거대 양당 둘 중에 하나를 선택해야 되니까 상대방이 잘못하면 저한테 자기한테 기회가 오죠.
67,인식결과,2,500730,506040,그래서 잘하기 경쟁보다는 상대방의 발목을 잡아서 실패를 유도하고 그런 기회가 오더라
67,수정결과,B,500730,506040,그래서 잘하기 경쟁보다는 상대방의 발목을 잡아서 실패를 유도하고 그런 기회가 오더라
68,인식결과,2,506780,514400,그래서 이런 구조를 깨야 합니다. 그래서 저는 우리 심상정 후보님 또 안철수 후보님 말씀하신 데 전적으로 공감하고
68,수정결과,B,506780,514400,그래서 이런 구조를 깨야 합니다. 그래서 저는 우리 심상정 후보님 또 안철수 후보님 말씀하신 데 전적으로 공감하고
69,인식결과,2,514400,523299,국민의 의사가 제대로 반영되는 비례대표제를 포함한 선거제도를 개혁해서 제3의 선택이 가능하게 해야 한다는 거 분명히 말씀드립니다.
69,수정결과,B,514400,523299,국민의 의사가 제대로 반영되는 비례대표제를 포함한 선거제도를 개혁해서 제3의 선택이 가능하게 해야 한다는 거 분명히 말씀드립니다.
70,인식결과,2,524030,532740,저희 당도 노력할 것이고요 두 번째는 각 정치세력이 실력을 연합해서 발휘할 수 있는 통합 정부 국민 내가 꼭 필요하다 이렇게 생각합니다.
70,수정결과,B,524030,532740,저희 당도 노력할 것이고요 두 번째는 각 정치세력이 실력을 연합해서 발휘할 수 있는 통합 정부 국민 내가 꼭 필요하다 이렇게 생각합니다.
71,인식결과,1,533179,539320,후보들의 답변을 들어봤는데요. 계속해서 같은 주제로 시간 총량제 토론 이어가겠습니다.
71,수정결과,A,533179,539320,후보들의 답변을 들어봤는데요. 계속해서 같은 주제로 시간 총량제 토론 이어가겠습니다.
72,인식결과,1,539320,546460,원활한 토론을 위해서 1회 발언 되도록 1분 이내로 해주시고요 발언하실 분은 손을 드시면 발언권을 드리겠습니다.
72,수정결과,A,539320,546460,원활한 토론을 위해서 1회 발언 되도록 1분 이내로 해주시고요 발언하실 분은 손을 드시면 발언권을 드리겠습니다.
73,인식결과,1,546460,554940,두 분 이상이 동시에 손을 든 경우에 남은 시간 등을 고려해서 발언권을 드리도록 하겠습니다. 이건 심상정 후보부터 시작하시죠
73,수정결과,A,546460,554940,두 분 이상이 동시에 손을 든 경우에 남은 시간 등을 고려해서 발언권을 드리도록 하겠습니다. 이건 심상정 후보부터 시작하시죠
74,인식결과,7,555080,556080,네
74,수정결과,G,555080,556080,네
75,인식결과,4,556080,566140,민주당이 선거 끝나기 전에 정치개혁의 의지를 밝혀주신 것은 다행이라고 생각합니다. 저는 20년 동안 정치개혁을 위해서 애써 왔고
75,수정결과,D,556080,566140,민주당이 선거 끝나기 전에 정치개혁의 의지를 밝혀주신 것은 다행이라고 생각합니다. 저는 20년 동안 정치개혁을 위해서 애써 왔고
76,인식결과,4,566140,580599,또 지금 민주당에서 내놓은 공약 대부분에 대해서 이미 법안을 제출해 놨습니다. 지금 국회 정개특위가 가동되고 있기 때문에 민주당이 좀 적극적으로 주도하셔서 빠른 결론을 내주셨으면 좋겠다. 이런 말씀 드리고요
76,수정결과,D,566140,580599,또 지금 민주당에서 내놓은 공약 대부분에 대해서 이미 법안을 제출해 놨습니다. 지금 국회 정개특위가 가동되고 있기 때문에 민주당이 좀 적극적으로 주도하셔서 빠른 결론을 내주셨으면 좋겠다. 이런 말씀 드리고요
77,인식결과,4,580630,589210,그런데 제가 분명히 몇 가지 말씀드리고 싶은 것은 민주당이 이번에 내놓으신 정치개혁 방안은 새로운 게 아니고
77,수정결과,D,580630,589210,그런데 제가 분명히 몇 가지 말씀드리고 싶은 것은 민주당이 이번에 내놓으신 정치개혁 방안은 새로운 게 아니고
78,인식결과,4,589210,598210,김대중 대통령님 또 노무현 대통령님 문재인 대통령님 계속 공약으로 재차 확인해 왔던 겁니다. 그런데 그동안에 이제 실천이 안 된 거죠.
78,수정결과,D,589210,598210,김대중 대통령님 또 노무현 대통령님 문재인 대통령님 계속 공약으로 재차 확인해 왔던 겁니다. 그런데 그동안에 이제 실천이 안 된 거죠.
79,인식결과,4,598210,612789,그리고 지난 국회 때는 저와 정의당이 정말 모든 것을 쏟아부어서 선거제도를 바꿨지만 결국 민주당이 이걸 뒤집었단 말이에요. 그런 것이기 때문에 말보다 실천이 중요하다
79,수정결과,D,598210,612789,그리고 지난 국회 때는 저와 정의당이 정말 모든 것을 쏟아부어서 선거제도를 바꿨지만 결국 민주당이 이걸 뒤집었단 말이에요. 그런 것이기 때문에 말보다 실천이 중요하다
80,인식결과,4,612929,625690,그리고 이번 대통령 선거에서 득실을 따지고 이용하실 생각 하지 마시고 정말 노무현 김대중 대통령의 유지를 잇는
80,수정결과,D,612929,625690,그리고 이번 대통령 선거에서 득실을 따지고 이용하실 생각 하지 마시고 정말 노무현 김대중 대통령의 유지를 잇는
81,인식결과,4,625690,631690,민주당의 정체성 회복 차원에서 진심을 다해서 꼭 실천하시기 바랍니다.
81,수정결과,D,625690,631690,민주당의 정체성 회복 차원에서 진심을 다해서 꼭 실천하시기 바랍니다.
82,인식결과,1,631690,634140,안철수 후보 발언권 드리겠습니다.
82,수정결과,A,631690,634140,안철수 후보 발언권 드리겠습니다.
83,인식결과,6,634140,637040,이 후보께 묻겠습니다.
83,수정결과,F,634140,637040,이 후보께 묻겠습니다.
84,인식결과,6,637780,645690,왜 대한민국 대통령은 제왕적 대통령이라고 하고 미국 대통령은 그런 말이 없을까요.
84,수정결과,F,637780,645690,왜 대한민국 대통령은 제왕적 대통령이라고 하고 미국 대통령은 그런 말이 없을까요.
85,인식결과,2,647080,654540,아무래도 권한 자체가 대통령에 지나치게 집중돼 있고 특히 이제 의회의 통제력이 좀 부족해서 그런 거 아닌가 싶습니다.
85,수정결과,B,647080,654540,아무래도 권한 자체가 대통령에 지나치게 집중돼 있고 특히 이제 의회의 통제력이 좀 부족해서 그런 거 아닌가 싶습니다.
86,인식결과,6,655330,665229,지금 보면 미국 대통령은 기본적으로 행정 권한만 가지고 있는데 한국 대통령은 가지고 있는 것이 그것뿐만이 아니라
86,수정결과,F,655330,665229,지금 보면 미국 대통령은 기본적으로 행정 권한만 가지고 있는데 한국 대통령은 가지고 있는 것이 그것뿐만이 아니라
87,인식결과,6,665229,672150,입법권도 가지고 있고 인사권도 가지고 있고 그리고 또 예산권도 가지고 있고 감사원까지 있습니다.
87,수정결과,F,665229,672150,입법권도 가지고 있고 인사권도 가지고 있고 그리고 또 예산권도 가지고 있고 감사원까지 있습니다.
88,인식결과,6,672179,686400,거기에다가 제대로 미국처럼 주지사로부터 견제를 받거나 또는 상하원 양원으로부터 견제를 받지 않기 때문에 사실 이런 여러 가지 문제들이 많은데요. 그런데 저는
88,수정결과,F,672179,686400,거기에다가 제대로 미국처럼 주지사로부터 견제를 받거나 또는 상하원 양원으로부터 견제를 받지 않기 때문에 사실 이런 여러 가지 문제들이 많은데요. 그런데 저는
89,인식결과,6,686400,696679,개헌 이전에도 사실 대통령이 충분히 할 수 있는 그런 권력 분산 방법이 많다고 생각하는데 어떤 생각들이 있으신지요.
89,수정결과,F,686400,696679,개헌 이전에도 사실 대통령이 충분히 할 수 있는 그런 권력 분산 방법이 많다고 생각하는데 어떤 생각들이 있으신지요.
90,인식결과,2,696679,705179,저는 일단은 국회의 권능을 좀 강화할 필요가 있다는 생각 때문에 이제 감사원을 국회로 옮기는 것은
90,수정결과,B,696679,705179,저는 일단은 국회의 권능을 좀 강화할 필요가 있다는 생각 때문에 이제 감사원을 국회로 옮기는 것은
91,인식결과,2,705179,712400,개헌을 통해서라도 꼭 할 필요가 있겠다. 생각을 합니다. 자기가 집행한 걸 자기가 검증하는 것은 문제가 있죠.
91,수정결과,B,705179,712400,개헌을 통해서라도 꼭 할 필요가 있겠다. 생각을 합니다. 자기가 집행한 걸 자기가 검증하는 것은 문제가 있죠.
92,인식결과,2,712880,722490,저는 거기에다 좀 더해서 제가 아까 드렸던 말씀을 좀 이어서 말씀을 드리면 지금 심상정 후보께서 하신 말씀은 전적으로 맞는 말씀이십니다.
92,수정결과,B,712880,722490,저는 거기에다 좀 더해서 제가 아까 드렸던 말씀을 좀 이어서 말씀을 드리면 지금 심상정 후보께서 하신 말씀은 전적으로 맞는 말씀이십니다.
93,인식결과,2,722630,730540,그래서 저희는 가능하면 이번 기회에 제가 저도 평생 꿈꾸었던 양당 독식 체제를 좀 깨고
93,수정결과,B,722630,730540,그래서 저희는 가능하면 이번 기회에 제가 저도 평생 꿈꾸었던 양당 독식 체제를 좀 깨고
94,인식결과,2,730780,739290,실질적으로 서로 권한이 배분된 국민의 한 표 한 표가 똑같은 가치를 가지는 그런 체제로 바뀌면 좋겠다는 생각이고요
94,수정결과,B,730780,739290,실질적으로 서로 권한이 배분된 국민의 한 표 한 표가 똑같은 가치를 가지는 그런 체제로 바뀌면 좋겠다는 생각이고요
95,인식결과,2,740080,747540,우리 안철수 후보님 말씀한 것 중에 미국도 대통령이 예산권은 여전히 가지고 있습니다. 그러나
95,수정결과,B,740080,747540,우리 안철수 후보님 말씀한 것 중에 미국도 대통령이 예산권은 여전히 가지고 있습니다. 그러나
96,인식결과,2,747929,754530,저는 특히 대한민국의 5년 단임제라고 하는 게 매우 기형적이어서 사실 가지는 문제도 좀 많기 때문에
96,수정결과,B,747929,754530,저는 특히 대한민국의 5년 단임제라고 하는 게 매우 기형적이어서 사실 가지는 문제도 좀 많기 때문에
97,인식결과,2,754530,760710,4년 중임으로 바꾸되 권한은 좀 분산하고 지방자치도 강화하고 기본권도 강화하고
97,수정결과,B,754530,760710,4년 중임으로 바꾸되 권한은 좀 분산하고 지방자치도 강화하고 기본권도 강화하고
98,인식결과,2,760710,769750,특히 최근에 문제되는 기후위기에 대한 국가의 책임이라든지 뭐 5.18 정신의 전문 반영이라든지 이렇게 합의 가능한 것부터 좀 빨리 개헌해서
98,수정결과,B,760710,769750,특히 최근에 문제되는 기후위기에 대한 국가의 책임이라든지 뭐 5.18 정신의 전문 반영이라든지 이렇게 합의 가능한 것부터 좀 빨리 개헌해서
99,인식결과,2,769830,771940,실제 좀 처리하면 좋겠고
99,수정결과,B,769830,771940,실제 좀 처리하면 좋겠고
100,인식결과,2,772130,781310,개헌이 안 되더라도 이번 기회에 저는 좀 입법을 통해서 우리 심 후보님이나 우리 안 후보님 말씀하시는 게 제가 말씀드린 것과 거의 다름이 없고
100,수정결과,B,772130,781310,개헌이 안 되더라도 이번 기회에 저는 좀 입법을 통해서 우리 심 후보님이나 우리 안 후보님 말씀하시는 게 제가 말씀드린 것과 거의 다름이 없고
101,인식결과,2,781310,786989,최근에는 오늘도 이미 결정했습니다마는 민주당 국회의원 110명이 이미 입장을 발표했고
101,수정결과,B,781310,786989,최근에는 오늘도 이미 결정했습니다마는 민주당 국회의원 110명이 이미 입장을 발표했고
102,인식결과,2,786989,799150,아마 내일이나 모레쯤 아마 의원총회를 해서 입장을 정리할 거고 아마 당론으로 입법 제안을 하게 될 테니까 이 권력 분산형 새로운 정치체제는 기대하셔도 되지 않을까 좋지 않을까 싶습니다.
